policy,corridor,horizon_days,test_year,threshold,signals,signals_per_week,signal_hit_rate,random_hit_rate,lift,wait_days_mean,waiting_cost_bps_mean,waiting_cost_bps_median
fast,RUB_UZS,1,2024,0.8350208674914341,49,0.9689265536723164,0.8571428571428571,0.8301360544217686,1.0325329836925348,,,
slow,RUB_UZS,1,2024,0.8350208674914341,36,0.711864406779661,0.9722222222222222,0.8234259259259259,1.1807039244349489,1.0555555555555556,8.317504811952826,-0.974760743586156
fast,RUB_UZS,1,2025,0.8826644236442458,48,0.9464788732394366,0.9375,0.6665972222222223,1.4063964996353786,,,
slow,RUB_UZS,1,2025,0.8826644236442458,14,0.27605633802816903,1.0,0.5452380952380952,1.834061135371179,1.0,-7.356883411457034,-13.96708793204693
fast,RUB_UZS,1,2026,0.9201716627390472,29,0.8787878787878788,0.9655172413793104,0.763793103448276,1.2641083521444694,,,
slow,RUB_UZS,1,2026,0.9201716627390472,3,0.09090909090909091,1.0,0.6866666666666666,1.4563106796116505,1.0,-32.763246392700786,-48.901400113676715
fast,RUB_UZS,3,2022,0.7975617493078295,21,0.4152542372881356,0.6190476190476191,0.31650793650793646,1.9558676028084256,,,
slow,RUB_UZS,3,2022,0.7975617493078295,15,0.2966101694915254,0.8666666666666667,0.3444444444444444,2.516129032258065,1.0,-31.513108934305553,-9.219783020137928
fast,RUB_UZS,3,2023,0.674833983680171,41,0.8107344632768362,0.7804878048780488,0.6933333333333334,1.125703564727955,,,
slow,RUB_UZS,3,2023,0.674833983680171,32,0.632768361581921,0.90625,0.7047916666666667,1.2858409695536506,1.0,-10.699279049284396,-6.5392707862077515
fast,RUB_UZS,3,2024,0.698434721729402,50,0.9887005649717514,0.78,0.6403333333333333,1.2181155648099948,,,
slow,RUB_UZS,3,2024,0.698434721729402,42,0.8305084745762712,0.9285714285714286,0.6307936507936508,1.4720684448917967,1.0,11.416028398031594,7.510967000584623
fast,RUB_UZS,3,2025,0.8410087928302384,26,0.5126760563380282,0.6923076923076923,0.45576923076923076,1.518987341772152,,,
slow,RUB_UZS,3,2025,0.8410087928302384,2,0.039436619718309855,0.5,0.6683333333333333,0.7481296758104738,1.0,17.51533347895684,17.51533347895684
fast,RUB_UZS,3,2026,0.8636185114870514,6,0.1842105263157895,0.6666666666666666,0.45388888888888884,1.4687882496940026,,,
slow,RUB_UZS,3,2026,0.8636185114870514,0,0.0,,,,,,
fast,RUB_UZS,5,2022,0.5837362828996578,22,0.43502824858757067,0.5,0.25727272727272726,1.9434628975265018,,,
slow,RUB_UZS,5,2022,0.5837362828996578,16,0.3163841807909605,0.4375,0.29520833333333335,1.4820042342978121,1.25,-34.10687678756297,-6.233435491064809
fast,RUB_UZS,5,2023,0.0055844633115794155,51,1.0084745762711864,0.5490196078431373,0.6188888888888888,0.887105290949414,,,
slow,RUB_UZS,5,2023,0.0055844633115794155,51,1.0084745762711864,0.5490196078431373,0.6157516339869281,0.8916250928776139,2.7254901960784315,16.345162044777297,12.277506142348571
